candidate,model,tmax,log_likelihood,log_evidence,log_evidence_err,log_bayes_factor,luminosity_distance,KNphi,inclination_EM,KNtimeshift,log10_mej_dyn,log10_mej_wind,Ebv,log_prior,log10_n0,p,log10_epsilon_e,log10_epsilon_B,log10_E0,thetaCore,thetaWing,ksiN,L0,dL,b,q,ts,supernova_mag_boost
nugent-hyper_0,nugent-hyper,13.0,-5.523401953594581,-8.014608432325328,0.043127638838801025,-8.014608432325328,212.5948695264383,,,-0.1711990672527388,,,0.2459041881501762,-8.127654298467355,,,,,,,,,,,,,,0.20974352109332628
nugent-hyper_0,nugent-hyper,15.0,-6.4426997087683455,-8.961561205278842,0.04341509719540271,-8.961561205278842,260.42171451028014,,,-0.3496402401509138,,,0.031363103026117174,-7.622583941737748,,,,,,,,,,,,,,0.5318107220306718
nugent-hyper_1,Bu2019lm,3.0,-1.83825571148303,-4.263025282753781,0.034903550275245616,-4.263025282753781,7.502155748524976,17.42022180309643,0.41649484624885813,0.48873152116742524,-2.534741095145815,-0.7728836495659088,0.06601832197426541,-8.93021452299866,,,,,,,,,,,,,,
nugent-hyper_1,Bu2019lm,5.0,-3.124760849797654,-7.820136631515005,0.0509078218676481,-7.820136631515005,3.4560934065770184,48.44646043525785,0.5897382421945433,0.6006358649869701,-2.878937666897513,-0.6711779476050475,0.4549109551631986,-10.072927489444748,,,,,,,,,,,,,,
nugent-hyper_1,Bu2019lm,7.0,-4.938688163179281,-11.604321794327685,0.06340119687502001,-11.604321794327685,2.80051172881915,45.980732051478896,0.5622177401964291,0.8155687698421241,-2.96789908914787,-0.6961173075189211,0.3068488284172166,-9.299850106233748,,,,,,,,,,,,,,
nugent-hyper_1,Bu2019lm,9.0,-4.810041244588074,-11.624718491443751,0.06388084882509336,-11.624718491443751,2.5852221178723984,48.986502815914186,0.7373006434366568,0.7113335781912538,-2.8866832259356103,-0.6611387835239171,0.08584329350069073,-8.462252609992419,,,,,,,,,,,,,,
nugent-hyper_1,Bu2019lm,11.0,-8.712305968887543,-17.716223084785533,0.07787453311060487,-17.716223084785533,1.863262356331321,49.84996850902809,0.7540439549314104,0.8077364800423901,-2.794761190270012,-0.5168421978696838,0.10176802782988673,-8.477399342767184,,,,,,,,,,,,,,
nugent-hyper_1,Bu2019lm,13.0,-16.978747889726233,-28.430624108717264,0.08988827057902664,-28.430624108717264,1.1914725753143478,49.96396883383978,0.6342228864913867,0.8853719709248149,-2.711347295506771,-0.5696883352786681,0.3785619604257101,-9.508837840448834,,,,,,,,,,,,,,
nugent-hyper_1,Bu2019lm,15.0,-26.21528086080368,-40.982691670994896,0.10280163854174514,-40.982691670994896,1.040355570930439,49.95991380939596,0.6975958505833654,0.9670103021284051,-2.733019513418096,-0.5369987743332731,0.3504796755900913,-9.292805107790734,,,,,,,,,,,,,,
nugent-hyper_1,TrPi2018,3.0,-1.8434368336710905,-5.671296988115271,0.05047706085844417,-5.671296988115271,173.98478349786723,,0.13593915839840157,0.5755108644260658,,,0.1679155820011319,-11.48070379007007,-1.3267647017509376,2.45253678747497,-0.14963171043261347,-1.7198539570421891,53.0,0.05,0.1,1.0,0.0,3.09e+19,6.0,0.0,0.0,
